post_id,title,category,score,num_comments,author,collected_at
47683042,VFX HQ: Visual Effects Headquarters (2000),worldnews,16,0,exvi,2026-04-10 22:19:30
47702499,Lichess and Take Take Take Sign Cooperation Agreement,science,189,57,stevage,2026-04-10 22:19:30
47703419,Meta removes ads for social media addiction litigation,entertainment,610,242,giuliomagnifico,2026-04-10 22:19:30
47701148,Top laptops to use with FreeBSD,worldnews,320,187,fork-bomber,2026-04-10 22:19:30
47710149,Microsoft is employing dark patterns to goad users into paying for storage?,science,372,225,jpmitchell,2026-04-10 22:19:30
47710835,"Show HN: Rust based eBook library for Python, with MIT license",entertainment,29,3,larry-the-agent,2026-04-10 22:19:30
47715088,Zero-build privacy policies with Astro,entertainment,13,12,jamie_davenport,2026-04-10 22:19:30
47710907,Many African families spend fortunes burying their dead,worldnews,210,202,powera,2026-04-10 22:19:30
47659135,Sam Altman may control our future – can he be trusted?,science,2146,902,adrianhon,2026-04-10 22:19:30
47717984,"Powell, Bessent discussed Mythos cyber threat with major U.S. banks",science,6,1,kaycebasques,2026-04-10 22:19:30
47661977,Doing Impressions: Monet's Early Caricatures (ca. late 1850s),science,50,1,prismatic,2026-04-10 22:19:30
47661972,Small Engines,worldnews,86,20,surprisetalk,2026-04-10 22:19:30
47719649,"Meta must face youth addiction lawsuit by Massachusetts, court rules",entertainment,7,0,1vuio0pswjnm7,2026-04-10 22:19:30
47663743,"Show HN: Moon simulator game, ray-casting",sports,107,24,JKCalhoun,2026-04-10 22:19:30
47713839,YouTube locked my accounts and I can't cancel my subscription,worldnews,146,95,digitalhigh,2026-04-10 22:19:30
47713265,"Installing OpenBSD on the Pomera DM250{,XY?}",sports,13,2,jandeboevrie,2026-04-10 22:19:30
47712222,New iPhone age and identity checks restrict internet freedom in the UK,science,210,137,josephcsible,2026-04-10 22:19:30
47656730,Understanding Traceroute,science,171,25,stonecharioteer,2026-04-10 22:19:30
47685320,Who is Satoshi Nakamoto? My quest to unmask Bitcoin's creator,worldnews,608,805,jfirebaugh,2026-04-10 22:19:30
47701572,"Wit, unker, Git: The lost medieval pronouns of English intimacy",worldnews,207,138,eigenspace,2026-04-10 22:19:30
47699181,Open source security at Astral,entertainment,359,107,vinhnx,2026-04-10 22:19:30
47688678,They're made out of meat (1991),sports,626,172,surprisetalk,2026-04-10 22:19:30
47716663,White House staff told not to place bets on prediction markets,worldnews,130,76,chrischapman,2026-04-10 22:19:30
47661297,What does it mean to “write like you talk”?,science,102,87,surprisetalk,2026-04-10 22:19:30
47678690,Six (and a half) intuitions for KL divergence,worldnews,109,29,jxmorris12,2026-04-10 22:19:30
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,120,56,DamnInteresting,2026-04-10 22:19:30
47658950,Haunted Paper Toys,sports,243,31,exvi,2026-04-10 22:19:30
47686549,Veracrypt project update,entertainment,1263,491,super256,2026-04-10 22:19:30
47693153,Understanding the Kalman filter with a simple radar example,entertainment,424,65,alex_be,2026-04-10 22:19:30
47651764,How Close Is Too Close? Applying Fluid Dynamics Research Methods to PC Cooling,science,29,7,LabsLucas,2026-04-10 22:19:30
47687248,Škoda DuoBell: A bicycle bell that penetrates noise-cancelling headphones,sports,603,596,ra,2026-04-10 22:19:30
47704259,"Show HN: Guruka.com – free guided mediations. No signup, private, works offline",entertainment,30,10,eummm,2026-04-10 22:19:30
47703065,Session is shutting down in 90 days,worldnews,143,172,balamatom,2026-04-10 22:19:30
47676509,Lunar Flyby,worldnews,958,247,kipi,2026-04-10 22:19:30
47653642,Binary obfuscation that doesn't kill LTO,worldnews,142,94,noztol,2026-04-10 22:19:30
47718804,"Bluesky users are mastering the fine art of blaming everything on ""vibe coding""",science,21,5,ulrischa,2026-04-10 22:19:30
47666639,The Importance of Being Idle,entertainment,309,200,Caiero,2026-04-10 22:19:30
47712340,Microsoft PhotoDNA scanning problem,science,101,45,darkzek,2026-04-10 22:19:30
47711623,Mexico's President Sheinbaum Decrees Universal Healthcare for 120M,worldnews,54,26,testing22321,2026-04-10 22:19:30
47690977,"Microsoft terminates VeraCrypt account, halting Windows updates",science,587,240,donohoe,2026-04-10 22:19:30
47700662,Today Is CSS Naked Day,science,39,4,edent,2026-04-10 22:19:30
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,390,367,chabons,2026-04-10 22:19:30
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,139,157,latchkey,2026-04-10 22:19:30
47702791,Show HN: 41 years sea surface temperature anomalies,entertainment,145,68,willmeyers,2026-04-10 22:19:30
47675372,Has electricity decoupled from natural gas prices in Germany?,entertainment,143,227,konschubert,2026-04-10 22:19:30
47705802,Show HN: Mdpdf a 2k line C CLI to convert Markdown to tiny PDFs,entertainment,10,4,bastscho,2026-04-10 22:19:30
47679258,System Card: Claude Mythos Preview [pdf],science,839,652,be7a,2026-04-10 22:19:30
47666398,Show HN: A (marginally) useful x86-64 ELF executable in 301 bytes,entertainment,64,19,meribold,2026-04-10 22:19:30
47654062,Ask HN: Any interesting niche hobbies?,entertainment,458,704,e-topy,2026-04-10 22:19:30
47682276,US and Iran agree to provisional ceasefire,science,601,2017,g-b-r,2026-04-10 22:19:30
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,114,36,pruz,2026-04-10 22:19:30
47678573,Cambodia unveils statue to honour famous landmine-sniffing rat,sports,484,130,speckx,2026-04-10 22:19:30
47705834,"Little Snitch comes to Linux, but the core logic is closed source",sports,77,26,TheIPW,2026-04-10 22:19:30
47654626,A whole boss fight in 256 bytes,science,127,51,HellMood,2026-04-10 22:19:30
47687464,Mario and Earendil,science,67,40,doppp,2026-04-10 22:19:30
47669337,Solod – A subset of Go that translates to C,sports,175,49,TheWiggles,2026-04-10 22:19:30
47681274,Bitcoin and quantum computing,science,168,136,nehan,2026-04-10 22:19:30
47672778,Breaking the console: a brief history of video game security,sports,96,26,sprado,2026-04-10 22:19:30
47662234,A cryptography engineer's perspective on quantum computing timelines,sports,546,248,thadt,2026-04-10 22:19:30
47699396,Flatpak: Complete Sandbox Escape,sports,18,0,eyberg,2026-04-10 22:19:30
47712739,NewTek Video Toaster Demo Reel,sports,13,3,shrubble,2026-04-10 22:19:30
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,541,163,akyuu,2026-04-10 22:19:30
